subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
01AV,38,real,M1_PA,rest,n20,10.0,25.0,1,38,21.80000000000001,-23.306813863515853,CP3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,n20,10.0,25.0,2,8,20.600000000000023,-19.68664491415024,P3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,n20,10.0,25.0,3,43,20.600000000000023,-18.8730944108963,P1,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,p30,20.0,40.0,1,15,22.399999999999977,11.498076905310153,Fp2,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,p30,20.0,40.0,2,46,21.600000000000023,11.096079137325287,AF4,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,p30,20.0,40.0,3,47,22.19999999999999,10.849474892616271,Fpz,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,n45,40.0,55.0,1,9,40.0,7.734802479743958,C3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,n45,40.0,55.0,2,62,53.60000000000002,-6.776524267196655,FT8,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,n45,40.0,55.0,3,30,53.39999999999998,-6.574467285871505,T8,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,p60,55.0,70.0,1,9,62.60000000000002,18.09518074989319,C3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,p60,55.0,70.0,2,38,62.80000000000001,16.427246189117433,CP3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,p60,55.0,70.0,3,42,60.0,13.435043952465058,C1,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,n100,80.0,120.0,1,38,106.19999999999999,-17.53432732820511,CP3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,n100,80.0,120.0,2,9,106.0,-15.284485498666763,C3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,n100,80.0,120.0,3,10,106.19999999999999,-15.18365170955658,CP1,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,onset,n20,10.0,25.0,1,38,18.19999999999999,-11.61196933031082,CP3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,onset,n20,10.0,25.0,2,8,18.600000000000023,-9.625269346237182,P3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,onset,n20,10.0,25.0,3,43,18.0,-9.470639100074768,P1,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,onset,p30,20.0,40.0,1,9,35.60000000000002,11.022623045444488,C3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,onset,p30,20.0,40.0,2,38,39.80000000000001,10.436424677222966,CP3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,onset,p30,20.0,40.0,3,42,33.19999999999999,8.011480702757835,C1,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
