subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
09TI,55,real,M1_PA,rest,n20,10.0,25.0,1,61,24.399999999999977,-5.384492163360119,AF8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,n20,10.0,25.0,2,15,24.399999999999977,-4.783632982373238,Fp2,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,n20,10.0,25.0,3,47,24.399999999999977,-4.076257852911949,Fpz,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,p30,20.0,40.0,1,0,31.600000000000023,3.724549623131752,T7,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,p30,20.0,40.0,2,33,30.600000000000023,3.3406469410657884,TP7,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,p30,20.0,40.0,3,38,20.399999999999977,3.2915101861953735,CP3,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,n45,40.0,55.0,1,61,53.39999999999998,-5.165198041200638,AF8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,n45,40.0,55.0,2,15,54.0,-4.928513606786728,Fp2,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,n45,40.0,55.0,3,12,54.60000000000002,-4.767942780405283,Fp1,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,p60,55.0,70.0,1,31,67.0,4.138191114962101,TP10,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
