subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
14AL,58,real,M1_PA,rest,n20,10.0,25.0,1,20,14.0,-17.278002469539643,O2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,n20,10.0,25.0,2,54,14.399999999999977,-16.419981299191715,PO8,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,n20,10.0,25.0,3,36,11.399999999999977,-13.277396092414856,C5,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,p30,20.0,40.0,1,15,20.399999999999977,8.360679226517677,Fp2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,p30,20.0,40.0,2,61,20.600000000000023,7.142910923659802,AF8,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,p30,20.0,40.0,3,47,21.0,5.873395471274852,Fpz,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,n45,40.0,55.0,1,11,42.0,-4.982549581900239,O1,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,n45,40.0,55.0,2,41,40.19999999999999,-3.967127960920334,PO7,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,n45,40.0,55.0,3,48,40.39999999999998,-3.610282473564148,FCz,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,p60,55.0,70.0,1,15,57.80000000000001,3.5799053217470647,Fp2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,p60,55.0,70.0,2,54,68.60000000000002,3.494805215448141,PO8,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,p60,55.0,70.0,3,61,57.60000000000002,3.2596144120395185,AF8,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,n100,80.0,120.0,1,27,96.60000000000002,-5.272359071820975,FT10,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,n100,80.0,120.0,2,44,80.19999999999999,-4.359128511697054,AF3,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,n100,80.0,120.0,3,11,83.0,-4.260810226425528,O1,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n20,10.0,25.0,1,20,13.800000000000011,-15.583779815137387,O2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n20,10.0,25.0,2,54,13.600000000000023,-15.06455874800682,PO8,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n20,10.0,25.0,3,6,11.199999999999989,-13.077513403892517,FC5,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,p30,20.0,40.0,1,54,30.80000000000001,6.194116798490286,PO8,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,p30,20.0,40.0,2,11,31.80000000000001,5.517954611629247,O1,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,p30,20.0,40.0,3,61,20.19999999999999,4.943974956870079,AF8,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n45,40.0,55.0,1,12,54.60000000000002,-5.327334069311619,Fp1,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n45,40.0,55.0,2,47,54.60000000000002,-5.059964700341225,Fpz,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n45,40.0,55.0,3,14,51.0,-5.040241948664188,Fz,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,p60,55.0,70.0,1,43,69.19999999999999,5.727481997162104,P1,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,p60,55.0,70.0,2,19,64.39999999999998,5.192262766957283,Pz,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,p60,55.0,70.0,3,23,66.0,5.147259000688791,P4,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n100,80.0,120.0,1,44,95.39999999999998,-7.386027216687799,AF3,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n100,80.0,120.0,2,47,100.39999999999998,-7.335835692286492,Fpz,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n100,80.0,120.0,3,14,95.39999999999998,-7.260587645769119,Fz,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,n20,10.0,25.0,1,20,13.600000000000023,-17.800243501663207,O2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
